iter	Passed	Remaining
902	11096	1191
903	11109	1179
904	11121	1167
905	11132	1155
906	11143	1142
907	11154	1130
908	11167	1117
909	11186	1106
910	11201	1094
911	11218	1082
912	11234	1070
913	11250	1058
914	11261	1046
915	11273	1033
916	11289	1021
917	11307	1010
918	11322	997
919	11333	985
920	11345	973
921	11357	960
922	11368	948
923	11379	935
924	11391	923
925	11402	911
926	11416	899
927	11427	886
928	11439	874
929	11451	861
930	11462	849
931	11473	837
932	11486	824
933	11499	812
934	11514	800
935	11526	788
936	11537	775
937	11548	763
938	11559	750
939	11570	738
940	11581	726
941	11593	713
942	11606	701
943	11620	689
944	11632	677
945	11646	664
946	11663	652
947	11682	640
948	11694	628
949	11706	616
950	11719	603
951	11731	591
952	11744	579
953	11755	566
954	11766	554
955	11782	542
956	11799	530
957	11819	518
958	11832	505
959	11844	493
960	11856	481
961	11867	468
962	11877	456
963	11890	444
964	11902	431
965	11914	419
966	11926	407
967	11940	394
968	11952	382
969	11962	369
970	11974	357
971	11987	345
972	12000	333
973	12013	320
974	12024	308
975	12036	295
976	12047	283
977	12058	271
978	12068	258
979	12079	246
980	12090	234
981	12101	221
982	12115	209
983	12126	197
984	12141	184
985	12153	172
986	12166	160
987	12177	147
988	12188	135
989	12200	123
990	12214	110
991	12225	98
992	12239	86
993	12250	73
994	12262	61
995	12273	49
996	12284	36
997	12295	24
998	12310	12
999	12325	0
