iter	Logloss
0	0.6079832623
1	0.5420473509
2	0.4857118816
3	0.4402601227
4	0.4043108541
5	0.371483246
6	0.346800303
7	0.327579487
8	0.3093757453
9	0.2947820213
10	0.2832504644
11	0.2729684481
12	0.2639499101
13	0.2558546156
14	0.2491655396
15	0.2438361459
16	0.2390293776
17	0.2352795842
18	0.2321637657
19	0.2287798546
20	0.2260981151
21	0.2236714939
22	0.2212969669
23	0.2194660424
24	0.2178253978
25	0.2162948616
26	0.2150149576
27	0.2138885939
28	0.212783445
29	0.2117489972
30	0.2100977235
31	0.208945239
32	0.2082019845
33	0.2073390949
34	0.205765373
35	0.2051577706
36	0.2044129617
37	0.2036625813
38	0.2029091856
39	0.2023091
40	0.2018086524
41	0.2009315321
42	0.2005800523
43	0.2000195919
44	0.1996531739
45	0.1992594205
46	0.1988288874
47	0.1982885155
48	0.1972177401
49	0.1967319502
50	0.1960996002
51	0.195796433
52	0.1955024931
53	0.194389954
54	0.1939656934
55	0.1937045123
56	0.1933871578
57	0.1930864855
58	0.192903523
59	0.1917597779
60	0.1912805252
61	0.1911863621
62	0.1909663526
63	0.1907809377
64	0.1904914157
65	0.1903123045
66	0.1900236891
67	0.1893715628
68	0.1891470232
69	0.1887329372
70	0.1884434165
71	0.1881373186
72	0.1879577777
73	0.1877597959
74	0.1870753583
75	0.1868402174
76	0.1863570013
77	0.185974407
78	0.1855727428
79	0.1852060987
80	0.184772509
81	0.1842766448
82	0.1841355031
83	0.1835211365
84	0.1833293211
85	0.1832089754
86	0.1830730318
87	0.1827493838
88	0.182663897
89	0.1824881336
90	0.1821370268
91	0.1819014248
92	0.1816520249
93	0.1814728355
94	0.1812916596
95	0.1811304237
96	0.1810159651
97	0.1809119045
98	0.1806380549
99	0.1804621427
100	0.1803420781
101	0.1802219144
102	0.180075616
103	0.1799027082
104	0.1797141858
105	0.1795608606
106	0.1794535389
107	0.1793055743
108	0.1787655644
109	0.1783403817
110	0.1780659636
111	0.177926234
112	0.177831677
113	0.1777105133
114	0.1776575108
115	0.1774236935
116	0.1771273427
117	0.1770409362
118	0.176912911
119	0.1766384666
120	0.1764264157
121	0.176262187
122	0.1761706157
123	0.1761184013
124	0.1759404843
125	0.1756805296
126	0.1756245913
127	0.1754731875
128	0.175414007
129	0.1751719203
130	0.1750122672
131	0.1749324005
132	0.174767598
133	0.1747130994
134	0.1744520937
135	0.1743124139
136	0.1741052013
137	0.1739951954
138	0.1737516255
139	0.1736783563
140	0.1735918312
141	0.1735120021
142	0.1733449685
143	0.1732867868
144	0.1732498366
145	0.1731234694
146	0.1729839114
147	0.1727455136
148	0.172472784
149	0.1723752013
150	0.1722431284
151	0.1720926509
152	0.1718372671
153	0.1717925398
154	0.1717183993
155	0.1716528885
156	0.1715870833
157	0.1714541239
158	0.1713895689
159	0.1713013046
160	0.1712512304
161	0.1710667024
162	0.1709939083
163	0.1709471524
164	0.1708671909
165	0.1707976567
166	0.1707297747
167	0.1706067059
168	0.1705362068
169	0.170465175
170	0.1703740614
171	0.1702603513
172	0.1701736701
173	0.1701005545
174	0.1700331179
175	0.1699075552
176	0.1697885235
177	0.1695133351
178	0.1692810498
179	0.1692166792
180	0.1691673917
181	0.1691232242
182	0.1689822472
183	0.1689019327
184	0.1688446031
185	0.16877092
186	0.1686849753
187	0.1685609703
188	0.1685044825
189	0.1683468495
190	0.168296745
191	0.1682216544
192	0.1681359292
193	0.1679023269
194	0.1678440795
195	0.1676870258
196	0.1676521368
197	0.1675831982
198	0.1673555514
199	0.1671066161
200	0.1670512573
201	0.1668213785
202	0.1666244109
203	0.1665855622
204	0.1665082114
205	0.1664365535
206	0.1664009842
207	0.1663464128
208	0.1662007137
209	0.1661321901
210	0.1659729709
211	0.1658018967
212	0.1655863866
213	0.1654775924
214	0.1653252187
215	0.1652033419
216	0.1650498308
217	0.164986426
218	0.1648752873
219	0.1648058548
220	0.164650962
221	0.1646135655
222	0.1645773224
223	0.1644243593
224	0.1643073857
225	0.1642093564
226	0.1641560693
227	0.1639008659
228	0.1638612124
229	0.163795683
230	0.1637169974
231	0.16367207
232	0.1635687442
233	0.1635075761
234	0.1634528692
235	0.1633971512
236	0.1633244818
237	0.1629861525
238	0.1629157659
239	0.1628724878
240	0.1627154143
241	0.162553113
242	0.1625055374
243	0.1624061894
244	0.162365863
245	0.1623345352
246	0.1622703309
247	0.1622216976
248	0.1621893333
249	0.1620898446
250	0.1620297889
251	0.1618758569
252	0.1618189274
253	0.1617772189
254	0.1616246359
255	0.1615823212
256	0.1614214266
257	0.1613708706
258	0.1612219752
259	0.1611153018
260	0.1610415922
261	0.1610117964
262	0.1609481864
263	0.1608574363
264	0.1607313183
265	0.1606607531
266	0.1606282861
267	0.1605851804
268	0.1603962965
269	0.1603275555
270	0.160235616
271	0.1601169826
272	0.1600756885
273	0.1600110897
274	0.1599476891
275	0.1599043012
276	0.1598238475
277	0.1597795912
278	0.1597329878
279	0.1596828939
280	0.1594880835
281	0.1594382636
282	0.1593762869
283	0.1593250736
284	0.159303052
